level_0,0
MCO,"{'EWR': {'FLIGHT_VOLUME': 7123.0, 'ARR_DELAY': 19.697880106696616}, 'RDU': {'FLIGHT_VOLUME': 2094.0, 'ARR_DELAY': 4.544412607449857}, 'IAD': {'FLIGHT_VOLUME': 2056.0, 'ARR_DELAY': 5.621108949416342}, 'BOS': {'FLIGHT_VOLUME': 4034.0, 'ARR_DELAY': 13.917203767972236}, 'SAT': {'FLIGHT_VOLUME': 666.0, 'ARR_DELAY': 6.767267267267267}, 'SFO': {'FLIGHT_VOLUME': 1496.0, 'ARR_DELAY': 4.060828877005347}, 'IAH': {'FLIGHT_VOLUME': 3099.0, 'ARR_DELAY': 5.134882220070991}, 'LAS': {'FLIGHT_VOLUME': 1363.0, 'ARR_DELAY': 1.9435069699192957}, 'PHX': {'FLIGHT_VOLUME': 1560.0, 'ARR_DELAY': 6.16474358974359}, 'CLE': {'FLIGHT_VOLUME': 1301.0, 'ARR_DELAY': 8.272867025365104}, 'DEN': {'FLIGHT_VOLUME': 3156.0, 'ARR_DELAY': 5.091888466413181}, 'SMF': {'FLIGHT_VOLUME': 240.0, 'ARR_DELAY': 3.879166666666667}, 'SAN': {'FLIGHT_VOLUME': 758.0, 'ARR_DELAY': 0.5712401055408971}, 'FLL': {'FLIGHT_VOLUME': 2415.0, 'ARR_DELAY': 5.140786749482402}, 'PIT': {'FLIGHT_VOLUME': 1939.0, 'ARR_DELAY': 4.613202681794739}, 'SEA': {'FLIGHT_VOLUME': 1045.0, 'ARR_DELAY': -1.3023923444976075}, 'DTW': {'FLIGHT_VOLUME': 3634.0, 'ARR_DELAY': 2.1684094661529993}, 'BNA': {'FLIGHT_VOLUME': 1914.0, 'ARR_DELAY': 5.687565308254963}, 'MCI': {'FLIGHT_VOLUME': 1369.0, 'ARR_DELAY': -0.019722425127830533}, 'ORD': {'FLIGHT_VOLUME': 4772.0, 'ARR_DELAY': 7.912615255658005}, 'MSY': {'FLIGHT_VOLUME': 1931.0, 'ARR_DELAY': 3.725530813050233}, 'MSN': {'FLIGHT_VOLUME': 75.0, 'ARR_DELAY': -2.6266666666666665}, 'DFW': {'FLIGHT_VOLUME': 4098.0, 'ARR_DELAY': 7.035139092240117}, 'LAX': {'FLIGHT_VOLUME': 3523.0, 'ARR_DELAY': 2.6165200113539595}, 'ONT': {'FLIGHT_VOLUME': 138.0, 'ARR_DELAY': 24.42753623188406}, 'SJC': {'FLIGHT_VOLUME': 237.0, 'ARR_DELAY': 3.839662447257384}, 'PDX': {'FLIGHT_VOLUME': 365.0, 'ARR_DELAY': -8.64109589041096}, 'GRR': {'FLIGHT_VOLUME': 361.0, 'ARR_DELAY': 14.254847645429363}, 'MIA': {'FLIGHT_VOLUME': 2886.0, 'ARR_DELAY': 7.411295911295912}, 'MSP': {'FLIGHT_VOLUME': 1928.0, 'ARR_DELAY': -0.9450207468879668}, 'CVG': {'FLIGHT_VOLUME': 1167.0, 'ARR_DELAY': 10.016281062553556}, 'AUS': {'FLIGHT_VOLUME': 1227.0, 'ARR_DELAY': 4.987775061124695}, 'LGA': {'FLIGHT_VOLUME': 3828.0, 'ARR_DELAY': 10.54649947753396}, 'IND': {'FLIGHT_VOLUME': 1887.0, 'ARR_DELAY': 5.5675675675675675}, 'BWI': {'FLIGHT_VOLUME': 4442.0, 'ARR_DELAY': 6.10040522287258}, 'DCA': {'FLIGHT_VOLUME': 3881.0, 'ARR_DELAY': 9.69337799536202}, 'PHL': {'FLIGHT_VOLUME': 5205.0, 'ARR_DELAY': 10.150624399615754}, 'ROC': {'FLIGHT_VOLUME': 395.0, 'ARR_DELAY': -5.154430379746835}, 'SJU': {'FLIGHT_VOLUME': 4529.0, 'ARR_DELAY': 13.346213292117465}, 'ORF': {'FLIGHT_VOLUME': 536.0, 'ARR_DELAY': 4.242537313432836}, 'ATL': {'FLIGHT_VOLUME': 9332.0, 'ARR_DELAY': 4.1200171453064725}, 'BDL': {'FLIGHT_VOLUME': 2420.0, 'ARR_DELAY': 7.76900826446281}, 'ABQ': {'FLIGHT_VOLUME': 123.0, 'ARR_DELAY': 34.32520325203252}, 'DSM': {'FLIGHT_VOLUME': 124.0, 'ARR_DELAY': 1.2983870967741935}, 'MYR': {'FLIGHT_VOLUME': 15.0, 'ARR_DELAY': -7.066666666666666}, 'SLC': {'FLIGHT_VOLUME': 1309.0, 'ARR_DELAY': 3.4759358288770055}, 'CMH': {'FLIGHT_VOLUME': 1777.0, 'ARR_DELAY': 5.9876195835678105}, 'MDT': {'FLIGHT_VOLUME': 61.0, 'ARR_DELAY': 26.131147540983605}, 'OKC': {'FLIGHT_VOLUME': 178.0, 'ARR_DELAY': 14.308988764044944}, 'ALB': {'FLIGHT_VOLUME': 1062.0, 'ARR_DELAY': 1.8681732580037664}, 'STL': {'FLIGHT_VOLUME': 1941.0, 'ARR_DELAY': 3.1370427614631633}, 'OMA': {'FLIGHT_VOLUME': 231.0, 'ARR_DELAY': 5.896103896103896}, 'BUF': {'FLIGHT_VOLUME': 1737.0, 'ARR_DELAY': 9.696603339090386}, 'AVL': {'FLIGHT_VOLUME': 54.0, 'ARR_DELAY': -6.018518518518518}, 'BQN': {'FLIGHT_VOLUME': 562.0, 'ARR_DELAY': 13.983985765124554}, 'RIC': {'FLIGHT_VOLUME': 962.0, 'ARR_DELAY': 9.103950103950105}, 'PWM': {'FLIGHT_VOLUME': 86.0, 'ARR_DELAY': 21.8953488372093}, 'CLT': {'FLIGHT_VOLUME': 3510.0, 'ARR_DELAY': 6.828774928774929}, 'CID': {'FLIGHT_VOLUME': 41.0, 'ARR_DELAY': -15.341463414634147}, 'TYS': {'FLIGHT_VOLUME': 55.0, 'ARR_DELAY': 7.763636363636364}, 'COS': {'FLIGHT_VOLUME': 245.0, 'ARR_DELAY': 3.024489795918367}, 'PVD': {'FLIGHT_VOLUME': 2251.0, 'ARR_DELAY': 13.51043980453132}, 'TTN': {'FLIGHT_VOLUME': 462.0, 'ARR_DELAY': 12.313852813852813}, 'MEM': {'FLIGHT_VOLUME': 620.0, 'ARR_DELAY': 7.030645161290322}, 'ISP': {'FLIGHT_VOLUME': 1560.0, 'ARR_DELAY': 12.966025641025642}, 'MKE': {'FLIGHT_VOLUME': 1402.0, 'ARR_DELAY': 0.9343794579172611}, 'BHM': {'FLIGHT_VOLUME': 810.0, 'ARR_DELAY': 6.72716049382716}, 'TUL': {'FLIGHT_VOLUME': 85.0, 'ARR_DELAY': 25.576470588235296}, 'LIT': {'FLIGHT_VOLUME': 14.0, 'ARR_DELAY': 14.857142857142858}, 'GSO': {'FLIGHT_VOLUME': 54.0, 'ARR_DELAY': 3.3333333333333335}, 'JAN': {'FLIGHT_VOLUME': 25.0, 'ARR_DELAY': -2.56}, 'SDF': {'FLIGHT_VOLUME': 469.0, 'ARR_DELAY': 4.068230277185501}, 'GSP': {'FLIGHT_VOLUME': 33.0, 'ARR_DELAY': 14.545454545454545}, 'LFT': {'FLIGHT_VOLUME': 21.0, 'ARR_DELAY': 9.285714285714286}, 'CAK': {'FLIGHT_VOLUME': 327.0, 'ARR_DELAY': 9.507645259938839}, 'MHT': {'FLIGHT_VOLUME': 757.0, 'ARR_DELAY': -0.0977542932628798}, 'HSV': {'FLIGHT_VOLUME': 28.0, 'ARR_DELAY': 35.035714285714285}, 'SYR': {'FLIGHT_VOLUME': 419.0, 'ARR_DELAY': 29.60381861575179}, 'FNT': {'FLIGHT_VOLUME': 18.0, 'ARR_DELAY': -4.222222222222222}, 'MDW': {'FLIGHT_VOLUME': 2710.0, 'ARR_DELAY': 1.8306273062730627}, 'HPN': {'FLIGHT_VOLUME': 1177.0, 'ARR_DELAY': 18.44519966015293}, 'BMI': {'FLIGHT_VOLUME': 39.0, 'ARR_DELAY': 31.641025641025642}, 'SWF': {'FLIGHT_VOLUME': 365.0, 'ARR_DELAY': 18.17808219178082}, 'OAK': {'FLIGHT_VOLUME': 180.0, 'ARR_DELAY': 10.266666666666667}, 'PSM': {'FLIGHT_VOLUME': 11.0, 'ARR_DELAY': -13.181818181818182}, 'JFK': {'FLIGHT_VOLUME': 5051.0, 'ARR_DELAY': 14.65353395367254}, 'HOU': {'FLIGHT_VOLUME': 1616.0, 'ARR_DELAY': 4.030321782178218}, 'ACY': {'FLIGHT_VOLUME': 730.0, 'ARR_DELAY': 8.356164383561644}, 'LBE': {'FLIGHT_VOLUME': 363.0, 'ARR_DELAY': 10.49586776859504}, 'STT': {'FLIGHT_VOLUME': 23.0, 'ARR_DELAY': -1.6521739130434783}, 'DAL': {'FLIGHT_VOLUME': 1365.0, 'ARR_DELAY': 3.1164835164835165}, 'ORH': {'FLIGHT_VOLUME': 365.0, 'ARR_DELAY': 16.602739726027398}, 'PSE': {'FLIGHT_VOLUME': 448.0, 'ARR_DELAY': 14.823660714285714}}"
MDT,"{'RDU': {'FLIGHT_VOLUME': 14.0, 'ARR_DELAY': 17.214285714285715}, 'IAD': {'FLIGHT_VOLUME': 136.0, 'ARR_DELAY': -12.308823529411764}, 'DEN': {'FLIGHT_VOLUME': 34.0, 'ARR_DELAY': 17.058823529411764}, 'MCO': {'FLIGHT_VOLUME': 61.0, 'ARR_DELAY': 34.26229508196721}, 'DTW': {'FLIGHT_VOLUME': 1072.0, 'ARR_DELAY': 7.399253731343284}, 'ORD': {'FLIGHT_VOLUME': 1803.0, 'ARR_DELAY': 10.019966722129784}, 'ATL': {'FLIGHT_VOLUME': 1021.0, 'ARR_DELAY': -1.4622918707149852}, 'MYR': {'FLIGHT_VOLUME': 65.0, 'ARR_DELAY': 23.476923076923075}, 'CLT': {'FLIGHT_VOLUME': 1622.0, 'ARR_DELAY': -1.1652281134401974}, 'HPN': {'FLIGHT_VOLUME': 1.0, 'ARR_DELAY': 798.0}, 'SFB': {'FLIGHT_VOLUME': 229.0, 'ARR_DELAY': 20.51528384279476}, 'PIE': {'FLIGHT_VOLUME': 140.0, 'ARR_DELAY': 10.628571428571428}, 'PGD': {'FLIGHT_VOLUME': 106.0, 'ARR_DELAY': 5.254716981132075}}"
MDW,"{'EWR': {'FLIGHT_VOLUME': 1963.0, 'ARR_DELAY': 20.226184411614874}, 'RDU': {'FLIGHT_VOLUME': 1191.0, 'ARR_DELAY': 8.81696053736356}, 'BOS': {'FLIGHT_VOLUME': 1588.0, 'ARR_DELAY': 9.92317380352645}, 'SAT': {'FLIGHT_VOLUME': 786.0, 'ARR_DELAY': 3.015267175572519}, 'SFO': {'FLIGHT_VOLUME': 810.0, 'ARR_DELAY': 18.82345679012346}, 'LAS': {'FLIGHT_VOLUME': 2997.0, 'ARR_DELAY': 1.4871538204871537}, 'PHX': {'FLIGHT_VOLUME': 2576.0, 'ARR_DELAY': 6.812111801242236}, 'CLE': {'FLIGHT_VOLUME': 1765.0, 'ARR_DELAY': 7.563172804532578}, 'DEN': {'FLIGHT_VOLUME': 3116.0, 'ARR_DELAY': 4.57413350449294}, 'SMF': {'FLIGHT_VOLUME': 438.0, 'ARR_DELAY': 3.5547945205479454}, 'SAN': {'FLIGHT_VOLUME': 1297.0, 'ARR_DELAY': 4.635312259059368}, 'MCO': {'FLIGHT_VOLUME': 2695.0, 'ARR_DELAY': 9.308348794063079}, 'FLL': {'FLIGHT_VOLUME': 1355.0, 'ARR_DELAY': 8.686346863468634}, 'PIT': {'FLIGHT_VOLUME': 1651.0, 'ARR_DELAY': 7.187159297395518}, 'RSW': {'FLIGHT_VOLUME': 1205.0, 'ARR_DELAY': 7.779253112033195}, 'SEA': {'FLIGHT_VOLUME': 1000.0, 'ARR_DELAY': 9.914}, 'DTW': {'FLIGHT_VOLUME': 2271.0, 'ARR_DELAY': 8.000440334654337}, 'BNA': {'FLIGHT_VOLUME': 2311.0, 'ARR_DELAY': 6.40415404586759}, 'RNO': {'FLIGHT_VOLUME': 218.0, 'ARR_DELAY': 15.087155963302752}, 'MCI': {'FLIGHT_VOLUME': 2809.0, 'ARR_DELAY': 5.186187255250979}, 'MSY': {'FLIGHT_VOLUME': 1136.0, 'ARR_DELAY': 8.443661971830986}, 'LAX': {'FLIGHT_VOLUME': 2039.0, 'ARR_DELAY': 2.7552721922511036}, 'ONT': {'FLIGHT_VOLUME': 365.0, 'ARR_DELAY': 12.183561643835617}, 'JAX': {'FLIGHT_VOLUME': 386.0, 'ARR_DELAY': 10.572538860103627}, 'SJC': {'FLIGHT_VOLUME': 501.0, 'ARR_DELAY': 5.441117764471058}, 'SNA': {'FLIGHT_VOLUME': 96.0, 'ARR_DELAY': 9.46875}, 'PDX': {'FLIGHT_VOLUME': 756.0, 'ARR_DELAY': 5.1494708994708995}, 'GRR': {'FLIGHT_VOLUME': 1042.0, 'ARR_DELAY': 9.685220729366602}, 'MSP': {'FLIGHT_VOLUME': 4387.0, 'ARR_DELAY': 6.0980168680191476}, 'CVG': {'FLIGHT_VOLUME': 1698.0, 'ARR_DELAY': 4.219081272084805}, 'AUS': {'FLIGHT_VOLUME': 1022.0, 'ARR_DELAY': 6.409001956947162}, 'LGA': {'FLIGHT_VOLUME': 2158.0, 'ARR_DELAY': 16.68628359592215}, 'IND': {'FLIGHT_VOLUME': 624.0, 'ARR_DELAY': 11.395833333333334}, 'TPA': {'FLIGHT_VOLUME': 1642.0, 'ARR_DELAY': 8.775883069427527}, 'BWI': {'FLIGHT_VOLUME': 2447.0, 'ARR_DELAY': 9.224356354720065}, 'DCA': {'FLIGHT_VOLUME': 2192.0, 'ARR_DELAY': 8.961222627737227}, 'CHS': {'FLIGHT_VOLUME': 654.0, 'ARR_DELAY': 5.240061162079511}, 'PHL': {'FLIGHT_VOLUME': 1991.0, 'ARR_DELAY': 9.976393771973882}, 'SJU': {'FLIGHT_VOLUME': 232.0, 'ARR_DELAY': 15.129310344827585}, 'ORF': {'FLIGHT_VOLUME': 669.0, 'ARR_DELAY': 8.309417040358744}, 'ATL': {'FLIGHT_VOLUME': 4151.0, 'ARR_DELAY': 4.175861238255842}, 'PBI': {'FLIGHT_VOLUME': 5.0, 'ARR_DELAY': -12.0}, 'BDL': {'FLIGHT_VOLUME': 943.0, 'ARR_DELAY': 10.692470837751856}, 'ABQ': {'FLIGHT_VOLUME': 697.0, 'ARR_DELAY': 3.687230989956958}, 'SLC': {'FLIGHT_VOLUME': 758.0, 'ARR_DELAY': 5.579155672823219}, 'CMH': {'FLIGHT_VOLUME': 1941.0, 'ARR_DELAY': 8.282328696548172}, 'BUR': {'FLIGHT_VOLUME': 54.0, 'ARR_DELAY': -7.314814814814815}, 'OKC': {'FLIGHT_VOLUME': 317.0, 'ARR_DELAY': 2.7381703470031544}, 'ALB': {'FLIGHT_VOLUME': 724.0, 'ARR_DELAY': 10.997237569060774}, 'STL': {'FLIGHT_VOLUME': 2503.0, 'ARR_DELAY': 7.1845785057930485}, 'OMA': {'FLIGHT_VOLUME': 1814.0, 'ARR_DELAY': 6.482359426681367}, 'BUF': {'FLIGHT_VOLUME': 1012.0, 'ARR_DELAY': 9.199604743083004}, 'TUS': {'FLIGHT_VOLUME': 370.0, 'ARR_DELAY': 4.07027027027027}, 'GEG': {'FLIGHT_VOLUME': 61.0, 'ARR_DELAY': 2.9508196721311477}, 'PWM': {'FLIGHT_VOLUME': 22.0, 'ARR_DELAY': -2.227272727272727}, 'BOI': {'FLIGHT_VOLUME': 69.0, 'ARR_DELAY': 4.173913043478261}, 'CLT': {'FLIGHT_VOLUME': 820.0, 'ARR_DELAY': 8.473170731707317}, 'PVD': {'FLIGHT_VOLUME': 949.0, 'ARR_DELAY': 9.28872497365648}, 'MEM': {'FLIGHT_VOLUME': 692.0, 'ARR_DELAY': 7.78757225433526}, 'BHM': {'FLIGHT_VOLUME': 676.0, 'ARR_DELAY': 14.229289940828401}, 'PNS': {'FLIGHT_VOLUME': 58.0, 'ARR_DELAY': 4.948275862068965}, 'ECP': {'FLIGHT_VOLUME': 13.0, 'ARR_DELAY': -0.3076923076923077}, 'SDF': {'FLIGHT_VOLUME': 1232.0, 'ARR_DELAY': 8.685876623376624}, 'MHT': {'FLIGHT_VOLUME': 892.0, 'ARR_DELAY': 8.535874439461884}, 'FNT': {'FLIGHT_VOLUME': 445.0, 'ARR_DELAY': 5.489887640449438}, 'OAK': {'FLIGHT_VOLUME': 1106.0, 'ARR_DELAY': 7.977396021699819}, 'HOU': {'FLIGHT_VOLUME': 2212.0, 'ARR_DELAY': 6.842224231464738}, 'DAL': {'FLIGHT_VOLUME': 2480.0, 'ARR_DELAY': 7.644354838709678}}"
MEI,"{'ORD': {'FLIGHT_VOLUME': 363.0, 'ARR_DELAY': 29.234159779614323}, 'DFW': {'FLIGHT_VOLUME': 365.0, 'ARR_DELAY': 3.6191780821917807}, 'PIB': {'FLIGHT_VOLUME': 365.0, 'ARR_DELAY': 11.663013698630136}}"
MEM,"{'EWR': {'FLIGHT_VOLUME': 605.0, 'ARR_DELAY': 15.593388429752066}, 'SAT': {'FLIGHT_VOLUME': 27.0, 'ARR_DELAY': -3.259259259259259}, 'IAH': {'FLIGHT_VOLUME': 1588.0, 'ARR_DELAY': -0.7021410579345088}, 'LAS': {'FLIGHT_VOLUME': 346.0, 'ARR_DELAY': 18.393063583815028}, 'PHX': {'FLIGHT_VOLUME': 711.0, 'ARR_DELAY': 6.680731364275668}, 'DEN': {'FLIGHT_VOLUME': 617.0, 'ARR_DELAY': 9.80064829821718}, 'MCO': {'FLIGHT_VOLUME': 620.0, 'ARR_DELAY': 6.033870967741936}, 'FLL': {'FLIGHT_VOLUME': 117.0, 'ARR_DELAY': 27.4017094017094}, 'DTW': {'FLIGHT_VOLUME': 657.0, 'ARR_DELAY': -3.1613394216133943}, 'ORD': {'FLIGHT_VOLUME': 1886.0, 'ARR_DELAY': 5.666489925768823}, 'DFW': {'FLIGHT_VOLUME': 2301.0, 'ARR_DELAY': 8.804432855280313}, 'LAX': {'FLIGHT_VOLUME': 391.0, 'ARR_DELAY': 3.235294117647059}, 'MIA': {'FLIGHT_VOLUME': 450.0, 'ARR_DELAY': -2.522222222222222}, 'MSP': {'FLIGHT_VOLUME': 941.0, 'ARR_DELAY': 0.11583421891604676}, 'AUS': {'FLIGHT_VOLUME': 54.0, 'ARR_DELAY': 20.537037037037038}, 'LGA': {'FLIGHT_VOLUME': 1346.0, 'ARR_DELAY': 4.844725111441307}, 'TPA': {'FLIGHT_VOLUME': 385.0, 'ARR_DELAY': 7.706493506493507}, 'BWI': {'FLIGHT_VOLUME': 476.0, 'ARR_DELAY': 1.8676470588235294}, 'DCA': {'FLIGHT_VOLUME': 847.0, 'ARR_DELAY': -2.9728453364817002}, 'PHL': {'FLIGHT_VOLUME': 858.0, 'ARR_DELAY': 0.6724941724941725}, 'ATL': {'FLIGHT_VOLUME': 3443.0, 'ARR_DELAY': 0.5631716526285216}, 'CLT': {'FLIGHT_VOLUME': 2195.0, 'ARR_DELAY': 1.3817767653758541}, 'VPS': {'FLIGHT_VOLUME': 32.0, 'ARR_DELAY': 27.65625}, 'MDW': {'FLIGHT_VOLUME': 692.0, 'ARR_DELAY': 6.1979768786127165}, 'SFB': {'FLIGHT_VOLUME': 120.0, 'ARR_DELAY': 30.908333333333335}, 'PIE': {'FLIGHT_VOLUME': 99.0, 'ARR_DELAY': 18.88888888888889}, 'AZA': {'FLIGHT_VOLUME': 23.0, 'ARR_DELAY': 32.21739130434783}, 'OAK': {'FLIGHT_VOLUME': 26.0, 'ARR_DELAY': 26.03846153846154}, 'HOU': {'FLIGHT_VOLUME': 658.0, 'ARR_DELAY': 3.940729483282675}, 'DAL': {'FLIGHT_VOLUME': 527.0, 'ARR_DELAY': 8.127134724857685}}"
MFE,"{'IAH': {'FLIGHT_VOLUME': 1889.0, 'ARR_DELAY': 2.1858125992588673}, 'LAS': {'FLIGHT_VOLUME': 289.0, 'ARR_DELAY': 15.584775086505191}, 'DFW': {'FLIGHT_VOLUME': 2337.0, 'ARR_DELAY': 10.634146341463415}, 'LAX': {'FLIGHT_VOLUME': 21.0, 'ARR_DELAY': 20.428571428571427}, 'BRO': {'FLIGHT_VOLUME': 1.0, 'ARR_DELAY': 0.0}, 'SFB': {'FLIGHT_VOLUME': 73.0, 'ARR_DELAY': 21.34246575342466}}"
MFR,"{'SFO': {'FLIGHT_VOLUME': 1626.0, 'ARR_DELAY': 17.156211562115622}, 'LAS': {'FLIGHT_VOLUME': 115.0, 'ARR_DELAY': 31.660869565217393}, 'PHX': {'FLIGHT_VOLUME': 363.0, 'ARR_DELAY': -6.118457300275482}, 'DEN': {'FLIGHT_VOLUME': 886.0, 'ARR_DELAY': 5.6749435665914225}, 'SEA': {'FLIGHT_VOLUME': 200.0, 'ARR_DELAY': 10.405}, 'LAX': {'FLIGHT_VOLUME': 1050.0, 'ARR_DELAY': 11.725714285714286}, 'SLC': {'FLIGHT_VOLUME': 444.0, 'ARR_DELAY': 3.918918918918919}, 'AZA': {'FLIGHT_VOLUME': 26.0, 'ARR_DELAY': 18.26923076923077}, 'ACV': {'FLIGHT_VOLUME': 1.0, 'ARR_DELAY': 0.0}}"
MGM,"{'DFW': {'FLIGHT_VOLUME': 955.0, 'ARR_DELAY': 4.13717277486911}, 'DCA': {'FLIGHT_VOLUME': 169.0, 'ARR_DELAY': -11.597633136094675}, 'ATL': {'FLIGHT_VOLUME': 2300.0, 'ARR_DELAY': 7.668260869565217}, 'CLT': {'FLIGHT_VOLUME': 696.0, 'ARR_DELAY': 12.038793103448276}}"
MHK,"{'ORD': {'FLIGHT_VOLUME': 797.0, 'ARR_DELAY': 4.998745294855709}, 'DFW': {'FLIGHT_VOLUME': 1037.0, 'ARR_DELAY': 3.767598842815815}}"
MHT,"{'EWR': {'FLIGHT_VOLUME': 373.0, 'ARR_DELAY': 12.541554959785524}, 'MCO': {'FLIGHT_VOLUME': 767.0, 'ARR_DELAY': -0.39374185136897}, 'FLL': {'FLIGHT_VOLUME': 4.0, 'ARR_DELAY': -1.75}, 'DTW': {'FLIGHT_VOLUME': 586.0, 'ARR_DELAY': -3.9044368600682593}, 'ORD': {'FLIGHT_VOLUME': 358.0, 'ARR_DELAY': 24.941340782122904}, 'LGA': {'FLIGHT_VOLUME': 591.0, 'ARR_DELAY': -2.1370558375634516}, 'TPA': {'FLIGHT_VOLUME': 476.0, 'ARR_DELAY': 0.09453781512605042}, 'BWI': {'FLIGHT_VOLUME': 2060.0, 'ARR_DELAY': -2.3563106796116506}, 'DCA': {'FLIGHT_VOLUME': 1118.0, 'ARR_DELAY': -1.163685152057245}, 'PHL': {'FLIGHT_VOLUME': 1039.0, 'ARR_DELAY': 0.670837343599615}, 'ATL': {'FLIGHT_VOLUME': 357.0, 'ARR_DELAY': -4.369747899159663}, 'CLT': {'FLIGHT_VOLUME': 1106.0, 'ARR_DELAY': -3.2079566003616637}, 'MDW': {'FLIGHT_VOLUME': 891.0, 'ARR_DELAY': -3.7261503928170594}}"
